id,name,full_name,region,zone,search_text
0062fec0-5832-45cd-a12a-635992b035cc,ጊኒር,"ጊኒር, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,ጊኒር ባሌ ኦሮሚያ
028a4612-d20f-4493-a363-cff0b63d9f52,አቢ አዲ,"አቢ አዲ, ማዕከላዊ, ትግራይ",ትግራይ,ማዕከላዊ,አቢ አዲ ማዕከላዊ ትግራይ
041a1db4-1e91-4c63-b6f8-5a461962c75d,ይፋግ,"ይፋግ, ደቡብ ጎንደር, አማራ",አማራ,ደቡብ ጎንደር,ይፋግ ደቡብ ጎንደር አማራ
0478c2c2-6bcd-4953-85a1-de54691213e8,አቡ መንዲ,"አቡ መንዲ, መተከል, ቤኒሻንጉል ጉሙዝ",ቤኒሻንጉል ጉሙዝ,መተከል,አቡ መንዲ መተከል ቤኒሻንጉል ጉሙዝ
05b35f44-1739-4d6e-8efb-678b948d0899,ናርጋዳጋ ደሴት,"ናርጋዳጋ ደሴት, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,ናርጋዳጋ ደሴት ሰሜን ጎንደር አማራ
05dbca2d-f4aa-46ac-9e6c-2b0e4de76028,መልካ ቴካ,"መልካ ቴካ, ጎዴ, ሶማሊ",ሶማሊ,ጎዴ,መልካ ቴካ ጎዴ ሶማሊ
06864cd9-391b-427c-bacd-7fa43db98c94,አግቤ,"አግቤ, ማዕከላዊ, ትግራይ",ትግራይ,ማዕከላዊ,አግቤ ማዕከላዊ ትግራይ
068a309f-ecc4-4494-9837-325a5847d221,ጎበሳ,"ጎበሳ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ጎበሳ አርሲ ኦሮሚያ
06dae99c-4a42-4996-a763-fdd37d6b15ea,ዳንግላ,"ዳንግላ, አገው አዊ, አማራ",አማራ,አገው አዊ,ዳንግላ አገው አዊ አማራ
07737542-3a68-463d-85ba-3577104243f5,ጋሳይ,"ጋሳይ, ደቡብ ጎንደር, አማራ",አማራ,ደቡብ ጎንደር,ጋሳይ ደቡብ ጎንደር አማራ
07740121-ea5e-408c-9c45-2ee5487ef7f5,አዲስ ቅዳሜ,"አዲስ ቅዳሜ, አገው አዊ, አማራ",አማራ,አገው አዊ,አዲስ ቅዳሜ አገው አዊ አማራ
0877c686-f0a8-49ca-9461-3d0e339159e2,ዋሃጻ,"ዋሃጻ, አገው አዊ, አማራ",አማራ,አገው አዊ,ዋሃጻ አገው አዊ አማራ
09e36fa3-af9f-4194-8517-ca7da177290a,ጎርጎራ,"ጎርጎራ, ምዕራብ ጎጃም, አማራ",አማራ,ምዕራብ ጎጃም,ጎርጎራ ምዕራብ ጎጃም አማራ
0a0f811c-cafe-4999-b381-0884775388f6,ኤል ቢኦባ,"ኤል ቢኦባ, አፍዴር, ሶማሊ",ሶማሊ,አፍዴር,ኤል ቢኦባ አፍዴር ሶማሊ
0a1131a7-07a3-466e-847a-4d93b0b7144c,ሚሌ,"ሚሌ, አፋር ዞን 1, አፋር",አፋር,አፋር ዞን 1,ሚሌ አፋር ዞን 1 አፋር
0a95a143-587d-4dbe-9e9b-750422ef52da,ተንዳሆ,"ተንዳሆ, አፋር ዞን 1, አፋር",አፋር,አፋር ዞን 1,ተንዳሆ አፋር ዞን 1 አፋር
0b9020b7-e838-43e9-b14e-0d51f7485446,አዲስ ኪዳን,"አዲስ ኪዳን, አገው አዊ, አማራ",አማራ,አገው አዊ,አዲስ ኪዳን አገው አዊ አማራ
0b9b5728-ccb8-496c-8daf-d067fc9e644a,ደጎማ,"ደጎማ, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,ደጎማ ሰሜን ጎንደር አማራ
0eb7fdc3-3f46-41c7-aec1-13bc31142a78,አዲ ጉዶም,"አዲ ጉዶም, ደቡባዊ, ትግራይ",ትግራይ,ደቡባዊ,አዲ ጉዶም ደቡባዊ ትግራይ
0f99bb62-aca0-4c19-b885-6b91b87d7bf6,ጭፍራ,"ጭፍራ, አፋር ዞን 1, አፋር",አፋር,አፋር ዞን 1,ጭፍራ አፋር ዞን 1 አፋር
10783a74-9408-4075-a918-217b05033dfb,ቦንጋ,"ቦንጋ, ከፊቾ ሸኪቾ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ከፊቾ ሸኪቾ,ቦንጋ ከፊቾ ሸኪቾ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
10a313c2-46bb-4eae-960e-d2aa8aea5194,ጎስ,"ጎስ, ደገሃቡር, ሶማሊ",ሶማሊ,ደገሃቡር,ጎስ ደገሃቡር ሶማሊ
116f2554-0593-4b2b-a7a7-5acaa754e2b7,አቃቂ በሰቃ,"አቃቂ በሰቃ, አዲስ አበባ ዞን 6, አዲስ አበባ",አዲስ አበባ,አዲስ አበባ ዞን 6,አቃቂ በሰቃ አዲስ አበባ ዞን 6 አዲስ አበባ
13479647-eb15-40c1-8929-389f5e6516a5,ወንበርያ,"ወንበርያ, ምዕራብ ጎጃም, አማራ",አማራ,ምዕራብ ጎጃም,ወንበርያ ምዕራብ ጎጃም አማራ
13fbcf4a-9350-4673-a370-f1e58e1395d8,ቡቺዮ,"ቡቺዮ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ቡቺዮ አርሲ ኦሮሚያ
14715021-dca1-4cf4-8d3c-52b5001fa662,ሸሃዳ,"ሸሃዳ, ዋርዴር, ሶማሊ",ሶማሊ,ዋርዴር,ሸሃዳ ዋርዴር ሶማሊ
149f89dc-7004-4e25-a644-695009602957,ሶርፍታ,"ሶርፍታ, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,ሶርፍታ ባሌ ኦሮሚያ
15d1470b-9463-4f99-82a3-366e9f598f26,ሳሊ,"ሳሊ, ደቡብ ጎንደር, አማራ",አማራ,ደቡብ ጎንደር,ሳሊ ደቡብ ጎንደር አማራ
1610a19d-f500-48f1-b958-90f49c744218,አደሌ,"አደሌ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,አደሌ አርሲ ኦሮሚያ
16e8d93b-3694-4ee4-8477-ac04d43cec83,ሃሙሲት,"ሃሙሲት, ሰሜን ወሎ, አማራ",አማራ,ሰሜን ወሎ,ሃሙሲት ሰሜን ወሎ አማራ
16f14b36-6c5b-4e4c-87cf-99352d13995d,ደዳይ,"ደዳይ, አፋር ዞን 1, አፋር",አፋር,ኬክሮስ,ደዳይ አፋር ዞን 1 አፋር ደዳይ ደዳይ
179d7e04-6dd9-4069-a353-8c139fd2f82b,ዋራንዳብ,"ዋራንዳብ, ኮራሄ, ሶማሊ",ሶማሊ,ኮራሄ,ዋራንዳብ ኮራሄ ሶማሊ
17e610b1-3c04-4ab8-9df8-20174f4f8ea5,ኪቢሽ,"ኪቢሽ, ቤንች ማጂ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ቤንች ማጂ,ኪቢሽ ቤንች ማጂ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
180ec5b9-4f0a-428e-85d2-8ee92a70e490,ሁሩታ,"ሁሩታ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ሁሩታ አርሲ ኦሮሚያ
1814e353-20d5-4de7-a782-fd19b642c235,ሸሀት,"ሸሀት, አፋር ዞን 2, አፋር",አፋር,አፋር ዞን 2,ሸሀት አፋር ዞን 2 አፋር
1a20a5c4-c056-4f97-8ace-b66491d2ddbb,ታርቻ ሶዶ,"ታርቻ ሶዶ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ታርቻ ሶዶ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
1b67f963-3923-4664-936b-6d827f2d9fdf,አምባ ማድሬ,"አምባ ማድሬ, ምዕራባዊ, ትግራይ",ትግራይ,ምዕራባዊ,አምባ ማድሬ ምዕራባዊ ትግራይ
1c12678d-72dc-4505-b765-824b3c10c5c5,ዳሎል,"ዳሎል, አፋር ዞን 2, አፋር",አፋር,አፋር ዞን 2,ዳሎል አፋር ዞን 2 አፋር
1d9d52f4-6a35-4583-94f0-46bf93398bf5,ትሬና,"ትሬና, አፋር ዞን 3, አፋር",አፋር,አፋር ዞን 3,ትሬና አፋር ዞን 3 አፋር
1dfd02a4-3277-430f-87c2-f712933e0672,ሀስኩል,"ሀስኩል, ደገሃቡር, ሶማሊ",ሶማሊ,ደገሃቡር,ሀስኩል ደገሃቡር ሶማሊ
1e047aac-ef8d-40f5-8ed8-51d71a075f7e,ቀይ አፈር,"ቀይ አፈር, ደቡብ ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ደቡብ ኦሞ,ቀይ አፈር ደቡብ ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
1e87f8be-2ece-4a2e-a7e4-d3b769dff125,ቱሉ ሚልኪ,"ቱሉ ሚልኪ, ሰሜን ሸዋ, ኦሮሚያ",ኦሮሚያ,ሰሜን ሸዋ,ቱሉ ሚልኪ ሰሜን ሸዋ ኦሮሚያ
21760976-50b2-4e10-b1d3-2347aa90b786,አጋርፋ,"አጋርፋ, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,አጋርፋ ባሌ ኦሮሚያ
2267990e-16f4-4796-b0fa-85feaaa34521,ቀርሳ,"ቀርሳ, ድሬ ዳዋ, ድሬ ዳዋ",ድሬ ዳዋ,ድሬ ዳዋ,ቀርሳ ድሬ ዳዋ ድሬ ዳዋ
